Name of Location,Address of Location,House Number,Street,City,State,Zip,Website,Email Address,Phone Number,Social Profiles,Name of Owner/Manager,Owner Email,Owner Phone,Mobile Groomer,Supported Zip Codes
Animal Care Center of Plainfield Emergency,"14411 Illinois Rte 59, Plainfield, IL 60544",14411 Illinois Rte 59,,Plainfield,IL,60544,https://www.yelp.com/biz/animal-care-center-of-plainfield-plainfield-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18154368387,{},,,,,
PetSmart,"2665 N Elston Ave, Chicago, IL 60647",2665 N Elston Ave,,Chicago,IL,60647,https://www.yelp.com/biz/petsmart-chicago-6?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17733421300,{},,,,,
K9 Tailshakers,"9204 Gulfstream Rd, Frankfort, IL 60423",9204 Gulfstream Rd,,Frankfort,IL,60423,https://www.yelp.com/biz/k9-tailshakers-frankfort-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18154648245,{},,,,,
PetSmart,"2221 Oakton Ave, Evanston, IL 60202",2221 Oakton Ave,,Evanston,IL,60202,https://www.yelp.com/biz/petsmart-evanston?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18473281814,{},,,,,
Ruffner's Luxury Pet Boarding,"1880 Dean St, Saint Charles, IL 60174",1880 Dean St,,Saint Charles,IL,60174,https://www.yelp.com/biz/ruffners-luxury-pet-boarding-saint-charles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16303774589,{},,,,,
Cedar Lane Kennels,"6901 Dunham Rd, Downers Grove, IL 60516",6901 Dunham Rd,,Downers Grove,IL,60516,https://www.yelp.com/biz/cedar-lane-kennels-downers-grove-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16309691198,{},,,,,
Dogstyle,"24777 N Milwaukee Ave, Vernon Hills, IL 60061",24777 N Milwaukee Ave,,Vernon Hills,IL,60061,https://www.yelp.com/biz/dogstyle-vernon-hills?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18476340722,{},,,,,
Camp Bow Wow McHenry,"3107 West Rte 120, Mchenry, IL 60051",3107 West Rte 120,,Mchenry,IL,60051,https://www.yelp.com/biz/camp-bow-wow-mchenry-mchenry-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18153857297,{},,,,,
Baxter & Beasley,"313 W Colfax, Palatine, IL 60067",313 W Colfax,,Palatine,IL,60067,https://www.yelp.com/biz/baxter-and-beasley-palatine?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18473589663,{},,,,,
PetSmart,"101 E Euclid Ave, Mount Prospect, IL 60056",101 E Euclid Ave,,Mount Prospect,IL,60056,https://www.yelp.com/biz/petsmart-mount-prospect-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18478701636,{},,,,,
Kountry Pet Resort & Training Center,"12N911 US Hwy 20, Hampshire, IL 60140",12N911 US Hwy 20,,Hampshire,IL,60140,https://www.yelp.com/biz/kountry-pet-resort-and-training-center-hampshire?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18477415434,{},,,,,
PetSmart,"976 N Route 59, Aurora, IL 60504",976 N Route 59,,Aurora,IL,60504,https://www.yelp.com/biz/petsmart-aurora-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16308511310,{},,,,,
Golf Rose Pet Lodge and Grooming,"1355 N Roselle Rd, Schaumburg, IL 60195",1355 N Roselle Rd,,Schaumburg,IL,60195,https://www.yelp.com/biz/golf-rose-boarding-and-grooming-schaumburg?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18478852122,{},,,,,
Carriage Hill Kennels,"2218 Waukegan Rd, Glenview, IL 60025",2218 Waukegan Rd,,Glenview,IL,60025,https://www.yelp.com/biz/carriage-hill-kennels-glenview?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18477240270,{},,,,,
Country Comfort Boarding & Grooming,"3215 Cannonball Trl, Yorkville, IL 60560",3215 Cannonball Trl,,Yorkville,IL,60560,https://www.yelp.com/biz/country-comfort-boarding-and-grooming-yorkville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16305539432,{},,,,,
Kountry Pet Resort & Training Center,"12N911 US Hwy 20, Hampshire, IL 60140",12N911 US Hwy 20,,Hampshire,IL,60140,https://www.yelp.com/biz/kountry-pet-resort-and-training-center-hampshire?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18477415434,{},,,,,
Ruffner's Luxury Pet Boarding,"1880 Dean St, Saint Charles, IL 60174",1880 Dean St,,Saint Charles,IL,60174,https://www.yelp.com/biz/ruffners-luxury-pet-boarding-saint-charles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16303774589,{},,,,,
Dogstyle,"24777 N Milwaukee Ave, Vernon Hills, IL 60061",24777 N Milwaukee Ave,,Vernon Hills,IL,60061,https://www.yelp.com/biz/dogstyle-vernon-hills?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18476340722,{},,,,,
Baxter & Beasley,"313 W Colfax, Palatine, IL 60067",313 W Colfax,,Palatine,IL,60067,https://www.yelp.com/biz/baxter-and-beasley-palatine?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18473589663,{},,,,,
Camp Bow Wow McHenry,"3107 West Rte 120, Mchenry, IL 60051",3107 West Rte 120,,Mchenry,IL,60051,https://www.yelp.com/biz/camp-bow-wow-mchenry-mchenry-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18153857297,{},,,,,
Cedar Lane Kennels,"6901 Dunham Rd, Downers Grove, IL 60516",6901 Dunham Rd,,Downers Grove,IL,60516,https://www.yelp.com/biz/cedar-lane-kennels-downers-grove-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16309691198,{},,,,,
Golf Rose Pet Lodge and Grooming,"1355 N Roselle Rd, Schaumburg, IL 60195",1355 N Roselle Rd,,Schaumburg,IL,60195,https://www.yelp.com/biz/golf-rose-boarding-and-grooming-schaumburg?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18478852122,{},,,,,
PetSmart,"101 E Euclid Ave, Mount Prospect, IL 60056",101 E Euclid Ave,,Mount Prospect,IL,60056,https://www.yelp.com/biz/petsmart-mount-prospect-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18478701636,{},,,,,
PetSmart,"976 N Route 59, Aurora, IL 60504",976 N Route 59,,Aurora,IL,60504,https://www.yelp.com/biz/petsmart-aurora-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16308511310,{},,,,,
Country Comfort Boarding & Grooming,"3215 Cannonball Trl, Yorkville, IL 60560",3215 Cannonball Trl,,Yorkville,IL,60560,https://www.yelp.com/biz/country-comfort-boarding-and-grooming-yorkville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16305539432,{},,,,,
PetSmart,"976 N Route 59, Aurora, IL 60504",976 N Route 59,,Aurora,IL,60504,https://www.yelp.com/biz/petsmart-aurora-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16308511310,{},,,,,
Animal Care Center of Plainfield Emergency,"14411 Illinois Rte 59, Plainfield, IL 60544",14411 Illinois Rte 59,,Plainfield,IL,60544,https://www.yelp.com/biz/animal-care-center-of-plainfield-plainfield-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18154368387,{},,,,,
K9 Tailshakers,"9204 Gulfstream Rd, Frankfort, IL 60423",9204 Gulfstream Rd,,Frankfort,IL,60423,https://www.yelp.com/biz/k9-tailshakers-frankfort-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18154648245,{},,,,,
Ruffner's Luxury Pet Boarding,"1880 Dean St, Saint Charles, IL 60174",1880 Dean St,,Saint Charles,IL,60174,https://www.yelp.com/biz/ruffners-luxury-pet-boarding-saint-charles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16303774589,{},,,,,
Cedar Lane Kennels,"6901 Dunham Rd, Downers Grove, IL 60516",6901 Dunham Rd,,Downers Grove,IL,60516,https://www.yelp.com/biz/cedar-lane-kennels-downers-grove-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16309691198,{},,,,,
Country Comfort Boarding & Grooming,"3215 Cannonball Trl, Yorkville, IL 60560",3215 Cannonball Trl,,Yorkville,IL,60560,https://www.yelp.com/biz/country-comfort-boarding-and-grooming-yorkville?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16305539432,{},,,,,
Wiggly Pups,"152 E 22nd St, Ste B3, New York, NY 10010",152 E 22nd St,Ste B3,New York,NY,10010,https://www.yelp.com/biz/wiggly-pups-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12124773930,{},,,,,
New York Dog Spa & Hotel,"32 W 25th St, New York, NY 10010",32 W 25th St,,New York,NY,10010,https://www.yelp.com/biz/new-york-dog-spa-and-hotel-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12122431199,{},,,,,
Happy Paws,"316 Lafayette St, New York, NY 10012",316 Lafayette St,,New York,NY,10012,https://www.yelp.com/biz/happy-paws-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12124316898,{},,,,,
Puppy Loft,"237 W 26th St, New York, NY 10001",237 W 26th St,,New York,NY,10001,https://www.yelp.com/biz/puppy-loft-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12129249131,{},,,,,
Opie's Outpost,"409 Greene Ave, Brooklyn, NY 11216",409 Greene Ave,,Brooklyn,NY,11216,https://www.yelp.com/biz/opies-outpost-brooklyn?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13475290047,{},,,,,
Green Leaf Pet Resort of Ocean,"1602 Highway 35, Oakhurst, NJ 07755",1602 Highway 35,,Oakhurst,NJ,7755,https://www.yelp.com/biz/green-leaf-pet-resort-of-ocean-oakhurst?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17322720800,{},,,,,
Pooches Sport & Spa,"47-31 Center Blvd, Long Island City, NY 11109",47-31 Center Blvd,,Long Island City,NY,11109,https://www.yelp.com/biz/pooches-sport-and-spa-long-island-city-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17183910800,{},,,,,
Playground Pups,"664 Amsterdam Ave, New York, NY 10025",664 Amsterdam Ave,,New York,NY,10025,https://www.yelp.com/biz/playground-pups-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12123625221,{},,,,,
LIC Doghouse,"45-44 Vernon Blvd, Long Island City, NY 11101",45-44 Vernon Blvd,,Long Island City,NY,11101,https://www.yelp.com/biz/lic-doghouse-long-island-city?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17183893647,{},,,,,
Camp Canine,"46 W 73rd St, New York, NY 10023",46 W 73rd St,,New York,NY,10023,https://www.yelp.com/biz/camp-canine-new-york?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12127873647,{},,,,,
New York Dog Nanny,"Astoria, NY 11105",,,Astoria,NY,11105,https://www.yelp.com/biz/new-york-dog-nanny-astoria-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16462067601,{},,,,,
The Kearny Dog Walker,"Kearny, NJ 07029",,,Kearny,NJ,7029,https://www.yelp.com/biz/the-kearny-dog-walker-kearny?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,17325005333,{},,,,,
Coco And Toto,"730 11th Ave, New York, NY 10019",730 11th Ave,,New York,NY,10019,https://www.yelp.com/biz/coco-and-toto-new-york-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12129565822,{},,,,,
K9dergarten,"173 Newark Ave, Jersey City, NJ 07302",173 Newark Ave,,Jersey City,NJ,7302,https://www.yelp.com/biz/k9dergarten-jersey-city?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12014358700,{},,,,,
Green Leaf Pet Resort,"23 Burnt Tavern Rd, Millstone, NJ 08510",23 Burnt Tavern Rd,,Millstone,NJ,8510,https://www.yelp.com/biz/green-leaf-pet-resort-millstone?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16092591500,{},,,,,
LAK9s,"8922 Ellis Ave, Los Angeles, CA 90034",8922 Ellis Ave,,Los Angeles,CA,90034,https://www.yelp.com/biz/lak9s-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14242721269,{},,,,,
Wags 2 Whiskers,"3729 Robertson Blvd, Culver City, CA 90232",3729 Robertson Blvd,,Culver City,CA,90232,https://www.yelp.com/biz/wags-2-whiskers-culver-city?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13102029247,{},,,,,
The Wags Club,"11860 Mississippi Ave, Los Angeles, CA 90025",11860 Mississippi Ave,,Los Angeles,CA,90025,https://www.yelp.com/biz/the-wags-club-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104733333,{},,,,,
South Park Doggie - Playland DTLA,"1320 S Grand Ave, Los Angeles, CA 90015",1320 S Grand Ave,,Los Angeles,CA,90015,https://www.yelp.com/biz/south-park-doggie-playland-dtla-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,12137473649,{},,,,,
South Park Doggie - Waterland LAX,"8613 Aviation Blvd, Inglewood, CA 90301",8613 Aviation Blvd,,Inglewood,CA,90301,https://www.yelp.com/biz/south-park-doggie-waterland-lax-inglewood-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104173649,{},,,,,
Karma Dog Training,"Los Angeles, CA 90048",,,Los Angeles,CA,90048,https://www.yelp.com/biz/karma-dog-training-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13235339394,{},,,,,
Citydog! Club,"1815 Pontius Ave, Los Angeles, CA 90025",1815 Pontius Ave,,Los Angeles,CA,90025,https://www.yelp.com/biz/citydog-club-los-angeles-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13104770364,{},,,,,
Paradise Ranch Pet Resort,"10268 La Tuna Canyon Rd, Sun Valley, CA 91352",10268 La Tuna Canyon Rd,,Sun Valley,CA,91352,https://www.yelp.com/biz/paradise-ranch-pet-resort-sun-valley?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18183949557,{},,,,,
Puparazzi LA,"1933 Pontius Ave, Los Angeles, CA 90025",1933 Pontius Ave,,Los Angeles,CA,90025,https://www.yelp.com/biz/puparazzi-la-los-angeles-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14243253151,{},,,,,
South Park Doggie - Adventureland South Bay,"945 W 190th St, Gardena, CA 90248",945 W 190th St,,Gardena,CA,90248,https://www.yelp.com/biz/south-park-doggie-adventureland-south-bay-gardena-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13107566110,{},,,,,
Doggie Goddess Pet Services,"2347 Pontius Ave, Los Angeles, CA 90064",2347 Pontius Ave,,Los Angeles,CA,90064,https://www.yelp.com/biz/doggie-goddess-pet-services-los-angeles?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,14242930425,{},,,,,
K9 Loft,"495 S Arroyo Pkwy, Pasadena, CA 91105",495 S Arroyo Pkwy,,Pasadena,CA,91105,https://www.yelp.com/biz/k9-loft-pasadena?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,16267956060,{},,,,,
poshpetcare,"705 N Harper Ave, Los Angeles, CA 90046",705 N Harper Ave,,Los Angeles,CA,90046,https://www.yelp.com/biz/poshpetcare-los-angeles-5?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,13236557674,{},,,,,
Pet Rush Inn,"115 W Linden Ave, Burbank, CA 91502",115 W Linden Ave,,Burbank,CA,91502,https://www.yelp.com/biz/pet-rush-inn-burbank-4?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18184714298,{},,,,,
Blue Dog Ranch,"110 W Linden Ave, Burbank, CA 91502",110 W Linden Ave,,Burbank,CA,91502,https://www.yelp.com/biz/blue-dog-ranch-burbank?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18187290550,{},,,,,
K9s Only,"18603 Topham St, Tarzana, CA 91335",18603 Topham St,,Tarzana,CA,91335,https://www.yelp.com/biz/k9s-only-tarzana-2?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18189214030,{},,,,,
Andy's Pet Grooming & Daycare,"13236 Riverside Dr, Sherman Oaks, CA 91423",13236 Riverside Dr,,Sherman Oaks,CA,91423,https://www.yelp.com/biz/andys-pet-grooming-and-daycare-sherman-oaks-3?adjust_creative=Mwql40_Jp9W-rGojm838NQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=Mwql40_Jp9W-rGojm838NQ,,18186163466,{},,,,,
